,mean_rho,rdr_rho,borda_rho,prefs_rho,anca_rho,mean_top1,rdr_top1,borda_top1,prefs_top1,anca_top1,mean_top2,rdr_top2,borda_top2,prefs_top2,anca_top2,mean_top3,rdr_top3,borda_top3,prefs_top3,anca_top3,rnoise,punrated,pslacker,plurker,enoise,toprated,numraters,numanswers,numratings,propnratings
475,0.664835164835,0.664835164835,0.631868131868,0.873626373626,0.868131868132,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6,0.7,0.3,0.5,0.5,False,20,13,77,0.311740890688
476,0.0769230769231,0.538461538462,0.757316750851,0.370629370629,0.319651479294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6,0.7,0.6,0.5,0.1,True,16,12,30,0.166666666667
477,0.815384615385,0.846153846154,0.528635643609,0.815384615385,0.806169356504,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6,0.7,0.6,0.5,0.1,False,13,14,51,0.303571428571
478,0.506151924031,0.623902545246,0.811102802687,0.51845422774,0.558735601611,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6,0.7,0.6,0.5,0.5,True,12,19,57,0.272727272727
479,0.17032967033,0.17032967033,0.233020691214,0.214285714286,0.344112826911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.6,0.7,0.6,0.5,0.5,False,12,13,44,0.307692307692
480,0.938596491228,0.938596491228,0.973684210526,0.908771929825,0.928070175439,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.3,0.3,0.5,0.1,True,21,19,273,0.718421052632
481,0.985294117647,0.985294117647,0.913907532187,0.985294117647,0.979411764706,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.4,0.3,0.3,0.5,0.1,False,25,16,261,0.6796875
482,0.846153846154,0.846153846154,0.831006521941,0.811188811189,0.818181818182,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.6666666666666666,1.0,1.0,0.4,0.3,0.3,0.5,0.5,True,19,12,142,0.657407407407
483,0.865196078431,0.865196078431,0.843137254902,0.879901960784,0.916666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3,0.3,0.5,0.5,False,22,17,275,0.770308123249
484,0.93006993007,0.93006993007,0.907181776498,0.874125874126,0.923076923077,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.4,0.3,0.6,0.5,0.1,True,13,12,104,0.722222222222
485,0.973626373626,0.973626373626,0.924092968429,0.96043956044,0.956043956044,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.6666666666666666,1.0,1.0,0.4,0.3,0.6,0.5,0.1,False,9,14,87,0.776785714286
486,0.841758241758,0.841758241758,0.965897174144,0.868131868132,0.872527472527,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.4,0.3,0.6,0.5,0.5,True,11,14,100,0.714285714286
487,0.943859649123,0.943859649123,0.922334445965,0.940350877193,0.926315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.4,0.3,0.6,0.5,0.5,False,12,19,158,0.755980861244
488,0.781921970842,0.874945235611,0.949956467966,0.667836834805,0.640316761286,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.7,0.3,0.5,0.1,True,23,19,125,0.299043062201
489,0.942857142857,0.951648351648,0.837581844087,0.868131868132,0.854945054945,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4,0.7,0.3,0.5,0.1,False,20,14,84,0.315789473684
